Covidence,Study ID,Title,Reviewer Name,included,exp1_is_preregistered,exp1_has_pwr_analysis,exp1_hypothesis_quote,exp1_results_quote,exp1_support,exp1_sample_size,exp1_pwr_an_effect_type,exp1_pwr_an_effect_est_raw,exp1_pwr_an_effect_est_d,exp1_effect_justification,exp1_power_estimate,exp2_is_preregistered,exp2_has_pwr_analysis,exp2_hypothesis_quote,exp2_results_quote,exp2_support,exp2_sample_size,exp2_pwr_an_effect_type,exp2_pwr_an_effect_est_raw,exp2_pwr_an_effect_est_d,exp2_effect_justification,exp2_pwr_estimate,exp3_is_preregistered,exp3_has_pwr_analysis,exp3_hypothesis_quote,exp3_results_quote,exp3_support,exp3_sample_size,exp3_pwr_an_effect_type,exp3_pwr_an_effect_est_raw,exp3_pwr_an_effect_est_d,exp3_effect_justification,exp3_pwr_estimate,exp4_is_preregistered,exp4_has_pwr_analysis,exp4_hypothesis_quote,exp4_results_quote,exp4_support,exp4_sample_size,exp4_pwr_an_effect_type,exp4_pwr_an_effect_est_raw,exp4_pwr_an_effect_est_d,exp4_effect_justification,exp4_pwr_estimate
2180,Bagesteiro 2021,Interlimb differences in visuomotor and dynamic adaptation during targeted reaching in children,Consensus,Yes,No,Yes,"In the current study, we investigated the pattern of motor adaptation in children aged 9–11 years old to determine their interlimb (a)symmetries during targeted reaching movements, which has received less attention in previous studies","Results showed that during visuomotor adaptation, no interlimb differences were observed for any of the three measures. During dynamic adaptation, however, a significant difference between the arms was observed at the first cycle during dynamic adaptation.",Yes,13, missing,1.77,,previous_study,80, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2179,Barhoun 2021,Mental rotation performance in young adults with and without developmental coordination disorder,Abigail Morgan,Yes,No,No,"Further, given that children with DCD have previously demonstrated performance deficits on the HRT are predominately due to difficulties with MI as opposed to domain general mental rotation, we hypothesised that this effect would hold in adults with DCD, and that young adults with and without DCD would show comparable performance on the LNRT.","Young adults with DCD were significantly less efficient compared to controls when completing the HRT yet showed comparable performance on the LNRT relative to adults with typical motor ability. Our data are consistent with the view that atypical HRT performance in adults with DCD is likely to be attributed to specific difficulties engaging in MI, as opposed to deficits in general mental rotation.",Yes,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,Barhoun 2021,Mental rotation performance in young adults with and without developmental coordination disorder,Gianna Jeyarajan,Yes,No,No," Further, given that children with DCD have previously demonstrated performance deficits on the HRT are predominately due to difficulties with MI as opposed to domain general mental rotation, we hypothesised that this effect would hold in adults with DCD, and that young adults with and without DCD would show comparable performance on the LNRT.","Consistent with our hypotheses, young adults with DCD displayed comparable performance to healthy adults on the LNRT, a task typically engaging visual imagery ability.",Yes,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2179,Barhoun 2021,Mental rotation performance in young adults with and without developmental coordination disorder,Consensus,Yes,No,No,"Further, given that children with DCD have previously demonstrated performance deficits on the HRT are predominately due to difficulties with MI as opposed to domain general mental rotation, we hypothesised that this effect would hold in adults with DCD, and that young adults with and without DCD would show comparable performance on the LNRT.","Consistent with our hypotheses, young adults with DCD displayed comparable performance to healthy adults on the LNRT, a task typically engaging visual imagery ability.",Yes,28.5, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2178,Sperl 2021,On the role of different subdimensions of inhibition for successful motor skill change,Chitrini Tandon,,No,Yes,"Thus, by explicitly hypothesizing that one dimension was related to successful motor skill change, whereas the other two were not, we pursued a discriminant approach (see also notions on convergent and discriminant validity, e.g., Vaughn & Daniel, 2012).","This change led to an immediate performance decline, observable in increased typing times and errors. Results also showed that larger performance decrements were significantly associated with better baseline performance, lower scores on prepotent response inhibition and higher scores on resistance to distractor interference. Besides supporting the idea of inhibition as a multidimen-sional construct, these findings replicate and confirm recent research indicating that the success in motor skill change is predicted by the ability to suppress prepotent response tendencies.",Yes,42,r,-0.4,-0.8729,no_explanation,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,Sperl 2021,On the role of different subdimensions of inhibition for successful motor skill change,Maryanne Vinh,Yes,No,Yes,"First, based on Sperl and Ca ̃nal-Bruland (2020b), we predicted that the amount of performance deterioration would be associated with lower prepotent response inhibition scores, but that there would be no association with resistance to proactive interference."," Results also showed that larger performance decrements were significantly associated with better baseline performance, lower scores on prepotent response inhibition and higher scores on resistance to distractor interference.",Yes,21,r,-0.4,,previous_study,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2178,Sperl 2021,On the role of different subdimensions of inhibition for successful motor skill change,Consensus,Yes,No,Yes,"First, based on Sperl and Ca ̃nal-Bruland (2020b), we predicted that the amount of performance deterioration would be associated with lower prepotent response inhibition scores, but that there would be no association with resistance to proactive interference."," Results also showed that larger performance decrements were significantly associated with better baseline performance, lower scores on prepotent response inhibition and higher scores on resistance to distractor interference.",Yes,21,r,-0.4,-0.8729,no_explanation,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,Promsri 2021,Principal postural acceleration and myoelectric activity: Interrelationship and relevance for characterizing neuromuscular function in postural control,Abbey Corson,Yes,No,No,We hypothesized that sEMG-PPA or sEMG-NPA associations would be observed in the range of small-to-moderate correlations (r =0.2 to 0.5) and that the latency between sEMG and PA signals would be observed in the physiological range of 50 to 350 ms.,"We found that peak correlation coefficients for many participants aligned at time delays between 0.116 and 0.362 s and were typically in the range small to medium (|r| =0.1 to 0.6). Thus, the current study confirmed a direct association between many principal accelerations PA(t) and muscle activation signals recorded from four muscles crossing the ankle joint complex.",Yes,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,Promsri 2021,Principal postural acceleration and myoelectric activity: Interrelationship and relevance for characterizing neuromuscular function in postural control,Julie Hubley,Yes,No,No,The purpose of the current study was therefore to assess the relationship between PAs and sEMG signals recorded from muscles controlling the ankle joint during one-leg standing trials. It was hypothesized that medium correlation should be observed when accounting for neurophysiologic latencies (electromechanical delay). ,"Thus, the current study confirmed a direct association between many principal accelerations PA(t) and muscle activation signals recorded from four muscles crossing the ankle joint complex.
The combined analysis of PA and sEMG signals allowed exploring the neuromuscular function of
each muscle in different postural movement components.",Yes,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2177,Promsri 2021,Principal postural acceleration and myoelectric activity: Interrelationship and relevance for characterizing neuromuscular function in postural control,Consensus,Yes,No,No,We hypothesized that sEMG-PPA or sEMG-NPA associations would be observed in the range of small-to-moderate correlations (r =0.2 to 0.5) and that the latency between sEMG and PA signals would be observed in the physiological range of 50 to 350 ms.,"We found that peak correlation coefficients for many participants aligned at time delays between 0.116 and 0.362 s and were typically in the range small to medium (|r| =0.1 to 0.6). Thus, the current study confirmed a direct association between many principal accelerations PA(t) and muscle activation signals recorded from four muscles crossing the ankle joint complex.",Yes,25, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2176,Fahr 2021,Quantifying age-related differences in selective voluntary motor control in children and adolescents with three assessments,Hugh Brooks,Yes,No,No,"he aim of this study was to describe and compare age-related differences in SVMC, quantified with these tools, in neurologically intact children, adolescents, and adults.","Despite that the sEMG recordings for the SISCUES/SCALE were made simultaneously with the clinical assessments, their correlation with age was different. While we found age-related differences for the Assessgame and the clinical assessments, we did not observe these for the SISCUES/SCALE. ",Yes,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,Fahr 2021,Quantifying age-related differences in selective voluntary motor control in children and adolescents with three assessments,Maryanne Vinh,Yes,No,No,"The aim of this study was to describe and compare age-related differences in SVMC, quantified with these tools, in neurologically intact children, adolescents, and adults. Methods: We measured upper and lower extremity SVMC with three assessments in 31 children and adolescents.","Results from the conventional clinical assessments correlated low to moderately with age (SCUES: r =0.55, p =0.013; SCALE: r =0.44, p =0.001), while the correlation between the sEMG based similarity index and age was negligible (r ≤0.25). The outcomes of the Assessgame correlated highly with age (r ≥0.80, p ≤0.001). Older children and adolescents performed movements more accurately and with fewer involuntary movements compared to younger participants. ",Yes,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2176,Fahr 2021,Quantifying age-related differences in selective voluntary motor control in children and adolescents with three assessments,Consensus,Yes,No,No,"The aim of this study was to describe and compare age-related differences in SVMC, quantified with these tools, in neurologically intact children, adolescents, and adults.","Results from the conventional clinical assessments correlated low to moderately with age (SCUES: r =0.55, p =0.013; SCALE: r =0.44, p =0.001), while the correlation between the sEMG based similarity index and age was negligible (r ≤0.25). The outcomes of the Assessgame correlated highly with age (r ≥0.80, p ≤0.001). Older children and adolescents performed movements more accurately and with fewer involuntary movements compared to younger participants. ",Yes,32, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2175,McCosker 2021,Run-up strategies in competitive long jumping: How an ecological dynamics rationale can support coaches to design individualised practice tasks,Chitrini Tandon,Yes,No,No," the aim of this study was to investigate whether different visual regulation strategies emerged for individuals during legal and foul jumps. It was expected that, based on the sampling of individual results from previous research (McCosker, 2020), different footfall variability data curves would emerge for legal and foul jumps for each participant","Results provided further support in conceptualising the run-up as a continuous interceptive action task consisting of a series of interconnected events (i.e., individual step lengths) influencing the regulation of gait towards the take-off board. This in-formation can be used by coaches and practitioners in designing training environments that promote athlete adaptation of more functional movement solutions closely matched to the dy-namics of competition environments",Yes,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,McCosker 2021,Run-up strategies in competitive long jumping: How an ecological dynamics rationale can support coaches to design individualised practice tasks,Abigail Morgan,Yes,No,No,"It was expected that, based on the sampling of individual results from previous research (McCosker, 2020), different footfall variability data curves would emerge for legal and foul jumps for each participant.","Emergence of different footfall variability data curves, illustrating how step adjustments were distributed across the run-up for each athlete, suggests that athletes interacted differently with features of the competition environment. This observation highlights the importance of movement adaptability as constraints change and emerge across each performance trial. Results provided further support in conceptualising the run-up as a continuous interceptive action task consisting of a series of interconnected events (i.e., individual step lengths) influencing the regulation of gait towards the take-off board. ",Yes,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2175,McCosker 2021,Run-up strategies in competitive long jumping: How an ecological dynamics rationale can support coaches to design individualised practice tasks,Consensus,Yes,No,No,"It was expected that, based on the sampling of individual results from previous research (McCosker, 2020), different footfall variability data curves would emerge for legal and foul jumps for each participant.","Emergence of different footfall variability data curves, illustrating how step adjustments were distributed across the run-up for each athlete, suggests that athletes interacted differently with features of the competition environment.",Yes,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,Maloney 2021,Skilled swimmers maintain performance stability under changing attentional focus constraints,Aaron Schwarz,Yes,No,Yes,"This study aimed to examine the effect of attentional focus on highly skilled swimmers performing the dive start and test the hypothesis that there would be no performance differences between internal and external attentional focus conditions. In line
with the results of previous studies in experienced athletes, we hypothesized that highly skilled swimmers would be able to maintain perfor-mance under an internal focus of attention (e.g., Pelleck & Passmore, 2017; Raisbeck et al., 2016; Schorer et al., 2012). ","The results revealed no differences in outcome performance (relative peak power, horizontal velocity, and time to 5 m) between internal and external focus conditions. ",Yes,9,,,,previous_study,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,Maloney 2021,Skilled swimmers maintain performance stability under changing attentional focus constraints,Abbey Corson,Yes,No,Yes,This study aimed to examine the effect of attentional focus on highly skilled swimmers performing the dive start and test the hypothesis that there would be no performance differences between internal and external attentional focus conditions.,"The results revealed no differences in outcome performance (relative peak power, horizontal velocity, and time to 5 m) between internal and external focus conditions.",Yes,9, G*Power,,,previous_study,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174,Maloney 2021,Skilled swimmers maintain performance stability under changing attentional focus constraints,Consensus,Yes,No,Yes,"In line with the results of previous studies in experienced athletes, we hypothesized that highly skilled swimmers would be able to maintain perfor-mance under an internal focus of attention (e.g., Pelleck & Passmore, 2017; Raisbeck et al., 2016; Schorer et al., 2012).","The results revealed no differences in outcome performance (relative peak power, horizontal velocity, and time to 5 m) between internal and external focus conditions.",Yes,9, G*Power,,,previous_study,80, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2173,Desrochers 2021,Temporal accuracy of gait after metronome practice,Abigail Morgan,Yes,No,No,The purpose of this study was to investigate how healthy young adults adjust their gait to align with metronome cues.,This knowledge of how healthy participants entrain their gait to temporal cues may have important implications in understanding how clinical populations acquire and modify their gait in rhythmic auditory cueing tasks.,Yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,Desrochers 2021,Temporal accuracy of gait after metronome practice,Hugh Brooks,Yes,No,No,"In this study, we examined how inter-step interval and cadence deviated from slow, medium, and fast tempos across steps within trials, across trials within blocks, and across two blocks that bookended a period of practice of walking to each tempo.","Participants were accurate in matching the tempo at the slow and medium tempos, while they tended to lag behind the beat at the fast tempo. We also found that participants showed no substantial improvement across steps and trials, nor across blocks, suggesting that participants had a robust ability to entrain their gait to the specified metronome tempo.",Yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173,Desrochers 2021,Temporal accuracy of gait after metronome practice,Consensus,Yes,No,No,"In this study, we examined how inter-step interval and cadence deviated from slow, medium, and fast tempos across steps within trials, across trials within blocks, and across two blocks that bookended a period of practice of walking to each tempo.","Participants were accurate in matching the tempo at the slow and medium tempos, while they tended to lag behind the beat at the fast tempo. We also found that participants showed no substantial improvement across steps and trials, nor across blocks, suggesting that participants had a robust ability to entrain their gait to the specified metronome tempo.",Yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,Apolinário-Souza 2021,The effect of context variability on motor learning,Hugh Brooks,Yes,No,Yes,e hypothesized the practice in a variable incidental context would enable learners to be more resistant to the effects of the contextual changes when compared to a constant incidental context practice.,"The results indicated that the G_VC showed better performance than the G_CC on the SWITCH condition, mainly in measures related to planning/selection process.",Yes,12, ,,,pilot,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,Apolinário-Souza 2021,The effect of context variability on motor learning,Aaron Schwarz,Yes,No,Yes,We hypothesized the practice in a variable incidental context would enable learners to be more resistant to the effects of the contextual changes when compared to a constant incidental context practice. ,"In general, the results support our hy-
pothesis. ",Yes,12,,,,pilot,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2172,Apolinário-Souza 2021,The effect of context variability on motor learning,Consensus,Yes,No,Yes,We hypothesized the practice in a variable incidental context would enable learners to be more resistant to the effects of the contextual changes when compared to a constant incidental context practice.,"The results indicated that the G_VC showed better performance than the G_CC on the SWITCH condition, mainly in measures related to planning/selection process.",Yes,12, ,,,pilot,95, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
2171,Tournillon 2021,Voluntary control of pelvic frontal rotations in belly dance experts,Abigail Morgan,Yes,No,No,The aims of this study were to 1) assess whether the amplitude and stability of the pelvic movement can be maximised in certain postural and frequency conditions; ,"The results showed that a low posture enhances amplitude performance and that the pelvic oscillation amplitude tended to decrease at 3 Hz, although between-condition differences remained small. Temporal stability was highest at 2 Hz and significant inter- individual differences emerged at 3 Hz. CRP analysis revealed an unpreventable coupling be-tween pelvis and upper-trunk oscillations in the frontal and transversal planes. A consistent antiphase coordination between transversal pelvis and upper-trunk may have been caused by anatomical and counter-balancing constraints. In the frontal plane, multiple stable pelvis-upper trunk patterns including inphase, out-of-phase and antiphase evolved to antiphase predomi-nance and inphase disappearance upon reaching 3 Hz.",Yes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,Tournillon 2021,Voluntary control of pelvic frontal rotations in belly dance experts,Aaron Schwarz,Yes,No,No,"The 
aims 
of 
this 
study 
were 
to 
1) 
assess 
whether 
the 
amplitude 
and 
stability 
of 
the 
pelvic 
movement 
can 
be 
maximised 
in 
certain 
postural 
and 
frequency 
conditions; 
and 
2) 
investigate 
in 
a 
1 
to 
3 
Hz 
range 
whether 
it 
is 
indeed 
possible 
to 
oscillate 
the 
pelvis 
only 
in 
the 
frontal 
plane 
and 
to 
dissociate 
this 
one-axis 
pelvic 
rotation 
from 
potential 
spontaneous 
upper-trunk 
oscillations.","The 
results 
showed 
that 
a 
low 
posture 
enhances 
amplitude 
performance 
and 
that 
the 
pelvic 
oscillation 
amplitude 
tended 
to 
decrease 
at 
3 
Hz, 
although 
between-condition 
differences 
remained 
small. ",Yes,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,Tournillon 2021,Voluntary control of pelvic frontal rotations in belly dance experts,Consensus,Yes,No,No,The aims of this study were to 1) assess whether the amplitude and stability of the pelvic movement can be maximised in certain postural and frequency conditions; ,"The 
results 
showed 
that 
a 
low 
posture 
enhances 
amplitude 
performance 
and 
that 
the 
pelvic 
oscillation 
amplitude 
tended 
to 
decrease 
at 
3 
Hz, 
although 
between-condition 
differences 
remained 
small. ",Yes,19, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,, , ,,, ,, ,,, ,
